date,rates_score,rates_regime,us_2s10s,us_5s30s,us_real_10y,us_de_10y_diff,us_jp_10y_diff,it_de_10y_diff
1999-12-02,86.36296960761854,TIGHTENING,0.1769999999999996,0.16999999999999993,4.163399999999999,1.0429999999999993,4.398,0.19699999999999918
1999-12-03,85.91654539986382,TIGHTENING,0.18899999999999917,0.17999999999999972,4.1678,1.0249999999999995,4.356999999999999,0.22299999999999986
1999-12-04,85.32240847831574,TIGHTENING,0.18899999999999917,0.17999999999999972,4.1678,1.0249999999999995,4.356999999999999,0.22299999999999986
1999-12-06,84.94271371574123,TIGHTENING,0.18400000000000016,0.18400000000000016,4.1719,1.088,4.36,0.21799999999999997
1999-12-07,84.17113631604663,TIGHTENING,0.17099999999999937,0.18700000000000028,4.1699,1.072,4.302,0.19600000000000062
1999-12-08,83.81676897896847,TIGHTENING,0.1719999999999997,0.17900000000000027,4.1723,1.0659999999999998,4.377,0.2140000000000004
1999-12-09,83.78831931074737,TIGHTENING,0.1800000000000006,0.18700000000000028,4.1784,1.0890000000000004,4.385,0.21199999999999974
1999-12-10,83.50994564004695,TIGHTENING,0.16000000000000014,0.18599999999999994,4.1809,1.0990000000000002,4.296,0.20800000000000018
1999-12-13,83.74144034904165,TIGHTENING,0.14499999999999957,0.19599999999999973,4.1914,1.0789999999999997,4.366,0.16100000000000048
1999-12-14,84.56656429797248,TIGHTENING,0.14900000000000002,0.19899999999999984,4.2171,1.1280000000000001,4.437,0.14700000000000024
1999-12-15,84.92266560183498,TIGHTENING,0.1609999999999996,0.20699999999999985,4.2513,1.194,4.491,0.22599999999999998
1999-12-16,85.48353108395284,TIGHTENING,0.1609999999999996,0.1980000000000004,4.286099999999999,1.1059999999999999,4.532,0.18100000000000005
1999-12-17,86.6500223081131,TIGHTENING,0.1380000000000008,0.17999999999999972,4.3077000000000005,1.0410000000000004,4.509,0.17400000000000038
1999-12-18,87.41681157124381,TIGHTENING,0.1380000000000008,0.17999999999999972,4.3077000000000005,1.0410000000000004,4.509,0.17400000000000038
1999-12-20,87.25523082182012,TIGHTENING,0.16500000000000004,0.1739999999999995,4.3163,1.0899999999999999,4.625,0.23599999999999977
1999-12-21,87.20804667512141,TIGHTENING,0.16900000000000048,0.17300000000000004,4.3247,1.146,4.658,0.24599999999999955
1999-12-22,87.10424036917155,TIGHTENING,0.16500000000000004,0.16199999999999992,4.338,1.109,4.657,0.23899999999999988
1999-12-23,86.66007841727598,TIGHTENING,0.1849999999999996,0.17300000000000004,4.3322,1.1719999999999997,4.7,0.25599999999999934
1999-12-24,86.2073756588944,TIGHTENING,0.17799999999999994,0.1739999999999995,4.3405000000000005,1.165,4.659000000000001,0.266
1999-12-27,85.82514202506407,TIGHTENING,0.19599999999999973,0.1559999999999997,4.3338,1.1520000000000001,4.661,0.274
1999-12-28,85.35463530515105,TIGHTENING,0.20000000000000018,0.15800000000000036,4.328200000000001,1.1160000000000005,4.719,0.2789999999999999
1999-12-29,84.83040855311428,TIGHTENING,0.18700000000000028,0.15299999999999958,4.3262,1.0750000000000002,4.7,0.28000000000000025
1999-12-30,84.1807146100718,TIGHTENING,0.2029999999999994,0.14700000000000024,4.3261,1.0109999999999992,4.691,0.24399999999999977
1999-12-31,83.48514662384116,TIGHTENING,0.22799999999999976,0.13399999999999945,4.328200000000001,1.0840000000000005,4.767,0.22100000000000009
2000-01-03,83.54757795460682,TIGHTENING,0.2079999999999993,0.1200000000000001,4.478199999999999,1.1139999999999999,4.917,0.25200000000000067
2000-01-04,83.63060514603356,TIGHTENING,0.1979999999999995,0.13900000000000023,4.3832,1.005,4.759,0.2370000000000001
2000-01-05,83.45301477261452,TIGHTENING,0.23600000000000065,0.1380000000000008,4.4802,1.0780000000000003,4.8950000000000005,0.22200000000000042
2000-01-06,80.61371944405904,TIGHTENING,0.22499999999999964,0.1349999999999998,,0.9790000000000001,4.839,0.23899999999999988
2000-01-07,78.21190366724326,TIGHTENING,0.20699999999999985,0.13500000000000068,,1.072,4.795999999999999,0.2240000000000002
2000-01-10,75.86761414836943,TIGHTENING,0.19299999999999962,0.12299999999999933,,1.1369999999999996,4.832999999999999,0.2290000000000001
2000-01-11,72.90098042225702,TIGHTENING,0.2290000000000001,0.11699999999999999,,1.1159999999999997,4.943,0.23299999999999965
2000-01-12,70.24410774410774,TIGHTENING,0.23099999999999987,0.11399999999999988,,1.154,4.965,0.24299999999999944
2000-01-13,70.22366522366522,TIGHTENING,0.23599999999999977,0.125,,1.1159999999999997,4.813,0.24799999999999933
2000-01-14,69.65127465127465,NEUTRAL-TIGHT,0.24900000000000055,0.12100000000000044,,1.1270000000000007,4.8790000000000004,0.25
2000-01-15,68.67845117845118,NEUTRAL-TIGHT,0.24900000000000055,0.12100000000000044,,1.1270000000000007,4.8790000000000004,0.25
2000-01-17,68.29124579124579,NEUTRAL-TIGHT,0.25100000000000033,0.11300000000000043,,1.1219999999999999,4.881,0.242
2000-01-18,66.88431938431938,NEUTRAL-TIGHT,0.28300000000000036,0.12399999999999967,,1.104,4.9830000000000005,0.23499999999999943
2000-01-19,65.5868205868206,NEUTRAL-TIGHT,0.2839999999999998,0.11299999999999955,,1.1310000000000002,4.957000000000001,0.2549999999999999
2000-01-20,64.37109187109186,NEUTRAL-TIGHT,0.29600000000000026,0.08399999999999963,,1.2069999999999999,4.988,0.25099999999999945
2000-01-21,66.35353081579497,NEUTRAL-TIGHT,0.3069999999999995,0.06300000000000061,4.3706,1.181,5.006,0.24900000000000055
2000-01-24,68.66367865270752,NEUTRAL-TIGHT,0.2789999999999999,0.09200000000000053,4.361599999999999,1.1149999999999993,5.005,0.25599999999999934
2000-01-25,72.40147919332495,TIGHTENING,0.2599999999999998,0.04800000000000004,4.3361,1.1770000000000005,5.059,0.23500000000000032
2000-01-26,76.64280442850266,TIGHTENING,0.22199999999999953,-0.015000000000000568,4.32,1.138,5.013,0.24300000000000033
2000-01-27,81.54137569973747,TIGHTENING,0.18599999999999994,-0.14999999999999947,4.3201,1.064,5.04,0.24300000000000033
2000-01-28,84.4232529943506,TIGHTENING,0.10099999999999998,-0.20999999999999996,4.318300000000001,1.0280000000000005,4.978000000000001,0.2649999999999997
2000-01-29,87.04387296843844,TIGHTENING,0.10099999999999998,-0.20999999999999996,4.318300000000001,1.0280000000000005,4.978000000000001,0.2649999999999997
2000-01-31,89.66860687069186,TIGHTENING,0.07399999999999984,-0.19200000000000017,4.2987,1.1239999999999997,4.93,0.24099999999999966
2000-02-01,92.10110318433571,TIGHTENING,0.04499999999999993,-0.24800000000000022,4.3122,1.1600000000000001,4.849,0.24400000000000066
2000-02-02,94.2092200970408,TIGHTENING,-0.01899999999999924,-0.37600000000000033,4.271000000000001,1.1030000000000006,4.719,0.25200000000000067
2000-02-03,95.06278931754551,TIGHTENING,-0.03399999999999981,-0.37099999999999955,4.2978000000000005,1.0460000000000003,4.62,0.24600000000000044
2000-02-04,96.01065223086553,TIGHTENING,-0.06899999999999995,-0.3819999999999997,4.2773,1.0550000000000006,4.715,0.2810000000000006
2000-02-07,96.58243364203528,TIGHTENING,-0.030999999999999694,-0.39500000000000046,4.2991,1.109,4.769,0.242
2000-02-08,96.95022964169627,TIGHTENING,-0.0649999999999995,-0.5019999999999998,4.3002,1.1310000000000002,4.694000000000001,0.2400000000000002
2000-02-09,96.8327680353391,TIGHTENING,0.007000000000000561,-0.4039999999999999,4.3146,1.1429999999999998,4.766,0.2519999999999998
