date,composite_instability,Europe→US_inst_z,Gold vs SPX_inst_z,10Y vs SPX_inst_z,HY vs SPX_inst_z,AUDJPY vs SPX_inst_z,JPY vs SPX_inst_z,Europe→US_roll21,Gold vs SPX_roll21,10Y vs SPX_roll21,HY vs SPX_roll21,AUDJPY vs SPX_roll21,JPY vs SPX_roll21
1990-07-28,,,,,,,,0.250886510890612,-0.03198800505761815,-0.14105921417822634,,0.02914359754573139,0.11054527275923098
1990-07-30,,,,,,,,0.1692047930353292,-0.06762318740297099,-0.1743302954492655,,0.026754000582982645,0.14271638969062006
1990-07-31,,,,,,,,0.10625709098421866,-0.047893911129760346,-0.3820225237768528,,0.00965745192022966,0.08125494089642582
1990-08-01,,,,,,,,0.11446198034159064,-0.05576427453984805,-0.35107002171854546,,0.004030152665047053,0.06374289139142235
1990-08-02,,,,,,,,0.2230557200016186,-0.08932675339190428,-0.49567635204420324,,-0.048574095750669406,-0.10409051238015586
1990-08-03,,,,,,,,0.34048387497256616,-0.12951277853652032,-0.5653561300288719,,-0.12610823804366192,-0.22445952408544573
1990-08-04,,,,,,,,0.3015890029748011,-0.05800732465271094,-0.6202654395680619,,-0.058854910817201005,-0.21967571356699936
1990-08-05,,,,,,,,0.31940221340709346,-0.18429424894419627,-0.5609046023954272,,-0.02991803666979226,-0.22720828408199908
1990-08-06,,,,,,,,0.6626331676405487,-0.5643405616866858,-0.7577028880406619,,0.06938399197415739,-0.09083006268029328
1990-08-07,,,,,,,,0.6630900605668169,-0.5658330702498006,-0.7367221425635306,,0.08191870220494182,-0.08969884842595158
1990-08-08,,,,,,,,0.48018816022829564,-0.5680083867639102,-0.6888489299964873,,0.06280914083220264,-0.08831225484561132
1990-08-09,,,,,,,,0.5098238043977215,-0.5393555483928659,-0.7035853071761908,,0.08015373576562221,-0.10470522169527738
1990-08-10,,,,,,,,0.5692108369176815,-0.5695200853316964,-0.6830222415718764,,0.003068636940187755,-0.1495319476666588
1990-08-11,,,,,,,,0.5752277826074363,-0.5646622088417428,-0.6829507519260347,,-0.07394461629085049,-0.1789712100197859
1990-08-13,,,,,,,,0.45514703940476786,-0.5942836156736393,-0.6494683307181425,,0.09547781842559144,-0.1386651311690643
1990-08-14,,,,,,,,0.46026833962539077,-0.5176603670562572,-0.6538375976014437,,0.0839718684717094,-0.1563038019516903
1990-08-15,,,,,,,,0.49808269602257277,-0.4592085986683657,-0.6810870753647752,,-0.12242172419805813,-0.2325631953336076
1990-08-16,,,,,,,,0.4768060749110094,-0.5107610563564983,-0.7462592109011258,,-0.15855456993214775,-0.29095002850757207
1990-08-17,,,,,,,,0.5074499603118218,-0.511104621508581,-0.7215533742281959,,-0.1301538831483611,-0.2691991041271923
1990-08-18,,,,,,,,0.5158464261985335,-0.534371996444764,-0.7220227442809798,,-0.1410049522401334,-0.28916945299514346
1990-08-20,,,,,,,,0.492892553688774,-0.5715968919209965,-0.7582869647957289,,-0.15715415776340375,-0.31483939549841994
1990-08-21,,,,,,,,0.5612701918035939,-0.4232958044576641,-0.7193006968555079,,-0.2126787266929786,-0.27670634137438294
1990-08-22,,,,,,,,0.465616357374278,-0.41561948557206374,-0.7207477987820315,,-0.20173908423697462,-0.19579132488004744
1990-08-23,,,,,,,,0.5064505138574902,-0.3521475277135196,-0.6878942055947312,,-0.4051654394742056,-0.22283050765700751
1990-08-24,,,,,,,,0.5707146227026038,-0.32046627393927185,-0.660637993993668,,-0.4821618159999708,-0.24755971955067346
1990-08-25,,,,,,,,0.5739536477692663,-0.32177778063002954,-0.6632199641286717,,-0.4824630466117623,-0.24398810497685766
1990-08-27,,,,,,,,0.6946313838037745,-0.6011254384939566,-0.7532749392063004,,-0.5148818485400561,-0.44534167351751824
1990-08-28,,,,,,,,0.6806588322291375,-0.6016472795888715,-0.7463436973821223,,-0.4733676320533805,-0.45071560034800673
1990-08-29,,,,,,,,0.6876312035224694,-0.5930680617727669,-0.7488427010269635,,-0.4457125138932621,-0.42415406208027023
1990-08-30,,,,,,,,0.598696106948212,-0.5699666566675683,-0.6848379337822849,,-0.276236732475829,-0.48029563195388686
1990-08-31,,,,,,,,0.5817842703890213,-0.5821136783160262,-0.6807633160710442,,-0.2885951022250262,-0.48223073081927414
